ALDER,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
16 years,2604.0,2472.0,2132.0,2238.0,2078.0,2031.0,1954.0,1904.0,1907.0,1995.0,1858.0,1871.0,1960.0,2021.0,2229.0,2917.0,3176.0
17 years,3065.0,2731.0,2620.0,2262.0,2423.0,2206.0,2164.0,2191.0,2336.0,2262.0,2181.0,1922.0,1919.0,1964.0,2110.0,2831.0,3125.0
18 years,3223.0,3200.0,2829.0,2733.0,2356.0,2485.0,2319.0,2343.0,2601.0,2720.0,2493.0,2285.0,1988.0,1948.0,2077.0,2792.0,3102.0
19 years,3451.0,3443.0,3344.0,2969.0,2864.0,2436.0,2639.0,2587.0,2765.0,3022.0,2964.0,2654.0,2443.0,2107.0,2130.0,2573.0,3064.0
2 years,326.0,405.0,426.0,475.0,468.0,527.0,571.0,696.0,1066.0,1301.0,950.0,596.0,560.0,435.0,498.0,1004.0,953.0
20 years,3898.0,3990.0,3789.0,3624.0,3252.0,3143.0,2780.0,3115.0,3268.0,3369.0,3501.0,3342.0,2925.0,2525.0,2396.0,2767.0,3239.0
21 years,4337.0,4612.0,4456.0,4126.0,4032.0,3645.0,3569.0,3228.0,3918.0,3935.0,3855.0,3862.0,3655.0,2956.0,2926.0,3174.0,3770.0
22 years,4720.0,4977.0,5025.0,4704.0,4381.0,4391.0,3986.0,4019.0,3943.0,4588.0,4389.0,4303.0,4161.0,3783.0,3531.0,3857.0,4116.0
23 years,4967.0,5268.0,5371.0,5246.0,4945.0,4778.0,4781.0,4568.0,4783.0,4694.0,5084.0,4783.0,4653.0,4337.0,4376.0,4410.0,4673.0
24 years,5098.0,5536.0,5615.0,5660.0,5407.0,5249.0,5197.0,5428.0,5500.0,5661.0,5297.0,5556.0,5191.0,4774.0,4801.0,5172.0,5102.0
25 years,5251.0,5634.0,5961.0,5939.0,5856.0,5699.0,5820.0,5842.0,6479.0,6321.0,6275.0,5808.0,5987.0,5383.0,5253.0,5732.0,5791.0
